setup_id,symbol,entry_time,side,exit_reason,net_r,bars_held,mfe_r,mae_r,atr,adx,bias_direction,bias_strength,state_confirmations,trigger_pattern,entry_price,stop_price,target_price
dfab846e-363,IRCTC.NS,"2026-03-13 12:15:00",SELL,gap_target,3.41,6,1.5,0.0,2.21,32.4,short,2,3,bearish_engulfing,528.5,532.93,521.86
b00bfcaa-1b2,INDUSINDBK.NS,"2026-03-11 10:00:00",SELL,gap_target,2.03,16,1.5,-0.31,5.49,25.5,short,1,4,bearish_engulfing,896.0,906.98,879.53
778270c8-fd3,VBL.NS,"2026-04-27 13:00:00",BUY,target,1.12,7,1.5,-0.04,5.39,23.2,long,2,4,hammer,501.7,490.92,517.88
a92c3d7c-8bc,ONGC.NS,"2026-03-09 10:15:00",SELL,target,1.09,3,1.5,-0.12,2.39,26.4,short,2,3,shooting_star,277.15,281.93,269.98
bc76d9b1-ce3,HINDALCO.NS,"2026-03-16 09:15:00",BUY,target,1.05,9,1.5,-0.04,6.95,30.2,long,2,3,bullish_engulfing,921.05,907.16,941.89
7bffc992-a5d,VBL.NS,"2026-04-09 10:00:00",BUY,target,1.03,6,1.5,-0.04,2.81,41.5,long,1,3,bullish_engulfing,419.3,413.67,427.74
57c26e80-a47,POWERGRID.NS,"2026-04-01 10:45:00",SELL,target,0.97,11,1.5,-0.17,1.61,27.3,short,2,3,bearish_engulfing,295.75,298.96,290.93
3ad20b82-896,NTPC.NS,"2026-03-12 11:15:00",BUY,target,0.96,13,1.5,-0.21,2.09,22.8,long,2,3,hammer,385.95,381.76,392.23
094cbd69-dfd,ONGC.NS,"2026-04-01 09:15:00",BUY,target,0.96,2,1.5,-0.02,1.53,28.0,long,1,4,hammer,287.0,283.94,291.6
acbaf368-593,SBIN.NS,"2026-04-02 13:15:00",BUY,target,0.95,4,1.5,-0.25,5.29,33.6,long,2,3,bullish_engulfing,999.0,988.42,1014.87
e8547dc2-cff,INDUSINDBK.NS,"2026-04-10 09:30:00",BUY,target,0.95,16,1.5,-0.38,4.29,28.0,long,2,3,hammer,826.2,817.62,839.08
c2c2f679-077,ADANIENT.NS,"2026-04-23 10:15:00",BUY,target,0.94,6,1.5,-0.37,12.52,29.4,long,1,3,bullish_engulfing,2261.9,2236.86,2299.46
c397a049-1fd,KALYANKJIL.NS,"2026-04-24 09:30:00",SELL,target,0.91,5,1.5,-0.21,1.91,25.4,short,1,3,bearish_engulfing,411.0,414.82,405.28
1d32303c-ba3,BPCL.NS,"2026-04-28 10:00:00",SELL,target,0.91,10,1.5,-0.16,1.42,23.7,short,2,3,bearish_engulfing,311.25,314.09,306.99
be8ba1d0-17e,INFY.NS,"2026-04-02 13:00:00",BUY,target,0.9,4,1.5,-0.08,5.82,26.0,long,2,3,bullish_engulfing,1273.6,1261.97,1291.05
211a2c7d-74f,VEDL.NS,"2026-04-13 10:15:00",BUY,target,0.9,17,1.5,-0.17,3.38,29.7,long,2,3,bullish_engulfing,743.35,736.59,753.5
1663cc15-abe,AXISBANK.NS,"2026-03-10 09:30:00",BUY,target,0.89,7,1.5,-0.35,5.92,26.7,long,2,4,bullish_engulfing,1295.1,1283.26,1312.86
b7e8b4d1-d65,KALYANKJIL.NS,"2026-04-28 09:30:00",BUY,target,0.87,2,1.5,-0.07,1.74,23.9,long,1,4,bullish_engulfing,414.95,411.47,420.17
ce8d65a6-a54,VEDL.NS,"2026-03-10 10:00:00",BUY,eod,0.84,20,1.45,-0.21,4.78,27.7,long,2,3,bullish_engulfing,709.5,699.93,723.85
045b5690-d8a,RELIANCE.NS,"2026-04-27 10:30:00",BUY,target,0.84,12,1.5,-0.21,5.38,32.1,long,2,3,hammer,1335.8,1325.04,1351.94
91191193-861,UPL.NS,"2026-04-15 13:15:00",BUY,target,0.8,3,1.5,-0.09,2.38,43.5,long,1,3,hammer,657.9,653.14,665.04
ee84a092-6b5,POWERGRID.NS,"2026-04-29 09:15:00",BUY,target,0.79,18,1.5,-0.09,1.14,27.4,long,2,4,hammer,319.8,317.52,323.21
7d352617-bea,HDFCLIFE.NS,"2026-04-29 09:30:00",BUY,target,0.79,7,1.5,-0.12,2.14,22.7,long,2,4,bullish_engulfing,594.55,590.28,600.96
c36b25b5-354,HDFCBANK.NS,"2026-04-16 11:00:00",SELL,target,0.78,4,1.5,-0.24,2.82,23.4,short,2,3,bearish_engulfing,808.95,814.59,800.49
846493cf-71b,RELIANCE.NS,"2026-03-16 13:45:00",BUY,eod,0.67,5,1.34,-0.08,5.89,28.6,long,2,3,bullish_engulfing,1381.5,1369.72,1399.16
609cee04-0d3,ITC.NS,"2026-03-12 13:45:00",SELL,target,0.66,4,1.5,-0.03,0.85,20.5,short,1,3,bearish_engulfing,306.4,308.11,303.84
594a3352-563,VBL.NS,"2026-03-11 11:00:00",SELL,eod,0.65,16,1.24,-0.48,2.22,21.5,short,1,3,shooting_star,436.9,441.35,430.23
fb66c891-822,ICICIBANK.NS,"2026-03-20 14:15:00",SELL,eod,0.64,3,1.46,-0.19,5.04,21.3,short,2,3,bearish_engulfing,1257.9,1267.97,1242.79
dcfe1702-b65,SBILIFE.NS,"2026-04-22 09:30:00",SELL,eod,0.6,22,1.26,-0.18,10.81,36.9,short,1,3,bearish_engulfing,1907.2,1928.81,1874.78
12ba18ce-e7d,ONGC.NS,"2026-03-13 11:00:00",SELL,eod,0.55,16,1.44,-0.67,1.2,22.4,short,2,3,bearish_engulfing,267.0,269.4,263.4
d694c06f-bee,DLF.NS,"2026-04-07 09:45:00",BUY,eod,0.48,21,1.09,-0.2,3.57,29.4,long,1,3,bullish_engulfing,527.0,519.86,537.71
ac4497c3-ac5,VEDL.NS,"2026-04-10 09:45:00",BUY,eod,0.47,21,1.22,-0.9,3.38,44.0,long,1,3,bullish_engulfing,738.0,731.24,748.14
6329c6ce-253,HDFCBANK.NS,"2026-03-06 14:15:00",SELL,eod,0.29,3,1.06,-0.09,2.94,26.3,short,1,3,shooting_star,861.8,867.69,852.97
b84bcca1-043,AXISBANK.NS,"2026-03-12 14:15:00",SELL,eod,0.27,3,0.93,-0.12,5.46,44.5,short,1,3,bearish_engulfing,1242.2,1253.11,1225.83
